"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
55 46 17 78 0.75 20 13.1 1700 50.5 36.4 2.5 34
52 40 16 75 0.3125 30 5.6 1467 55.6 38.8 2.5 40
50 40 16.8 76 0.4375 28 8.6 1467 53.8 37.6 2.5 40
50 46 16.5 75 0.75 30 0 2600 62.5 37.5 2.5 30
50 46 16.5 75 0.75 28 0 2600 62.5 37.5 2.5 30
50 45 12 70 0.75 60 0 1650 60.2 39.8 3 40
65 43 16 75 1 32 22.7 1750 45.5 31.8 3 38
65 43 16 68 0.75 30 15.5 1750 48.5 35.9 3 38
50 50 14 80 0.75 40 10.5 1700 52.6 36.8 2.5 38
50 50 15 70 1 30 10 1600 50 40 2.8 38
40 45 14.5 70 0.625 25 0 1500 59.5 40.5 2 40
50 43 16 75 1 20 15.8 1600 49.5 34.7 2.5 38
50 45 16 70 0.8125 30 0 2400 58.8 41.2 1.7 30
40 45 15 76 0.8125 30 0 2400 62.5 37.5 1 30
30 43 16.3 70 0.8125 25 1.2 2200 58.1 40.7 2 30
40 41 15.8 72 1 30 0 2000 62.5 37.5 2.5 30
40 42 14.5 74 1 25 8 2100 57.5 34.5 2.3 35
45 42 14 70 1 20 8 1850 57.5 34.5 2 35
50 45 15 76 1 30 8 2150 57.5 34.5 2.5 35
50 45 15.2 72 1 25 5.9 2150 58.8 35.3 2.5 35
30 45 17 70 0.75 35 0 2200 58.8 41.2 2.5 33
37.5 44 16 90 0.75 28 20 2050 45 35 2.4 35
37.5 44 16.5 91 0.75 30 21.7 2050 43.5 34.8 2.7 35
32.5 43 15 82 1 31 7.6 1500 54.3 38 2.5 40
37.5 44 15 85 0.75 34 0 1400 62.5 37.5 2.8 28
35 44 16 80 1 32 7 1400 58.1 34.9 3 28
50 43 16 82 0.875 30 0 2270 55.6 44.4 2 30
50 43 16.3 80 0.8125 30 0 2270 55.6 44.4 1.5 30
60 43 15.8 57 0.75 24 1.2 1480 58.1 40.7 1.4 33
52.5 43 16.6 58 0.75 20 7.9 1480 56.2 36 1.7 33
25 38 13 75 0.625 25 0 1600 57.5 42.5 2.5 30
25 38 14 70 0.625 25 0 1600 58.8 41.2 1.7 30
40 46 15.9 78 0.5 34 2.4 2000 61 36.6 2.4 35
45 41 17 78 0.75 16 14.1 1100 50.5 35.4 2.5 50
47.5 41 16.5 72 0.75 20 14.1 1300 50.5 35.4 2.5 50
40 46 15 68 0.75 28 0 1700 58.8 41.2 1 33
