Initial wk1  wk2 wk3 wk4
100.19861 99.89277  99.57542  100.24853 99.94374
92.71194  92.05166  91.49069  90.76005  89.50763
98.62108  97.71137  97.30643  96.93583  95.73605
97.16268  96.30985  95.37016  94.57932  93.67814
80.16121  79.92685  80.24962  80.10365  80.47954
103.84622 102.80514 101.83191 99.88952  99.15884
84.69346  84.33202  83.83838  82.18016  80.40173
83.27646  83.58428  83.19632  83.11751  82.60584
94.28392  93.54647  92.77653  91.33039  90.67183
97.10992  96.92765  96.87646  96.25375  95.58833
92.23442  92.14167  92.08168  92.29454  91.68019
84.40803  83.36801  82.06768  81.45134  79.56995
99.6266 99.63874  99.35487  98.60535  98.15386
103.18734 102.88158 102.73407 102.4234  101.52132
